,Title,Location,Company,Salary
583,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
584,Data Scientist (Personalization),"New York, NY",The New York Times,
585,Data Scientist,New York State•Remote,AbleTo,
586,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
587,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
588,Data Scientist - Fraud,"Columbus, NY",Klarna,
589,Data Scientist,"New York, NY",Amex,
590,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
591,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
592,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
593,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
594,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
595,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
596,Data Scientist,"Corning, NY 14831",Corning,
597,newData Scientist,"New York, NY",BNY Mellon,
598,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
599,Data Scientist (Personalization),"New York, NY",The New York Times,
600,Data Scientist,New York State•Remote,AbleTo,
601,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
602,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
603,Data Scientist - Fraud,"Columbus, NY",Klarna,
604,Data Scientist,"New York, NY",Amex,
605,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
606,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
607,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
608,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
609,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
610,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
611,Data Scientist,"Corning, NY 14831",Corning,
612,newData Scientist,"New York, NY",BNY Mellon,
613,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
614,Data Scientist (Personalization),"New York, NY",The New York Times,
615,Data Scientist,New York State•Remote,AbleTo,
616,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
